epoch,epoch_train_loss,epoch_val_loss,num_decay_params,num_nodecay_params,step,total_params,train_loss_epoch,train_loss_step,trainable_params,val_loss
0,,,,,4,,,10.580078125,,
0,,,,,9,,,9.499102592468262,,
0,,,,,14,,,8.001910209655762,,
0,,,,,19,,,7.120309352874756,,
0,,,,,24,,,6.688472747802734,,
0,,6.682031154632568,,,24,,,,,6.686295986175537
0,,,,,29,,,6.619157791137695,,
0,,,,,34,,,6.6157050132751465,,
0,,,,,39,,,6.635291576385498,,
0,,,,,44,,,6.596940517425537,,
0,,,,,49,,,6.523964881896973,,
0,,6.563658237457275,,,49,,,,,6.56410551071167
0,,,,,54,,,6.523695945739746,,
0,,,,,59,,,6.553244590759277,,
0,,,,,64,,,6.550799369812012,,
0,,,,,69,,,6.5876688957214355,,
0,,,,,74,,,6.445265769958496,,
0,,6.533520221710205,,,74,,,,,6.5336384773254395
0,7.281923294067383,,3330176.0,1858.0,74,3332034.0,7.2907304763793945,,3332034.0,
1,,,,,79,,,6.49661111831665,,
1,,,,,84,,,6.541932106018066,,
1,,,,,89,,,6.444450378417969,,
1,,,,,94,,,6.3712592124938965,,
1,,,,,99,,,6.309322357177734,,
1,,6.362598419189453,,,99,,,,,6.3618083000183105
1,,,,,104,,,6.327898025512695,,
1,,,,,109,,,6.203607559204102,,
1,,,,,114,,,6.175032138824463,,
1,,,,,119,,,6.252758502960205,,
1,,,,,124,,,6.252655029296875,,
1,,6.194187164306641,,,124,,,,,6.193417072296143
1,,,,,129,,,6.117071628570557,,
1,,,,,134,,,6.194361686706543,,
1,,,,,139,,,6.074151515960693,,
1,,,,,144,,,6.126535415649414,,
1,,,,,149,,,6.007960796356201,,
1,,6.032016754150391,,,149,,,,,6.030676364898682
1,6.266479015350342,,,,149,,6.269200801849365,,,
2,,,,,154,,,5.912430763244629,,
2,,,,,159,,,5.916458606719971,,
2,,,,,164,,,5.912026882171631,,
2,,,,,169,,,5.784541130065918,,
2,,,,,174,,,5.812829971313477,,
2,,5.827718257904053,,,174,,,,,5.826195240020752
2,,,,,179,,,5.789668083190918,,
2,,,,,184,,,5.739409923553467,,
2,,,,,189,,,5.759578704833984,,
2,,,,,194,,,5.567385196685791,,
2,,,,,199,,,5.595689296722412,,
2,,5.662202835083008,,,199,,,,,5.6614460945129395
2,,,,,204,,,5.4532470703125,,
2,,,,,209,,,5.597356796264648,,
2,,,,,214,,,5.5582475662231445,,
2,,,,,219,,,5.5633368492126465,,
2,,,,,224,,,5.444599151611328,,
2,,5.5482940673828125,,,224,,,,,5.547423362731934
2,5.7300848960876465,,,,224,,5.733090400695801,,,
3,,,,,229,,,5.492917537689209,,
3,,,,,234,,,5.454464435577393,,
3,,,,,239,,,5.341276168823242,,
3,,,,,244,,,5.379517078399658,,
3,,,,,249,,,5.5359110832214355,,
3,,5.453714370727539,,,249,,,,,5.4510674476623535
3,,,,,254,,,5.474762439727783,,
3,,,,,259,,,5.382693767547607,,
3,,,,,264,,,5.3448944091796875,,
3,,,,,269,,,5.320437431335449,,
3,,,,,274,,,5.43073034286499,,
3,,5.358070373535156,,,274,,,,,5.357126235961914
3,,,,,279,,,5.358580589294434,,
3,,,,,284,,,5.266604900360107,,
3,,,,,289,,,5.252153396606445,,
3,,,,,294,,,5.251662731170654,,
3,,,,,299,,,5.267777919769287,,
3,,5.278690814971924,,,299,,,,,5.279132843017578
3,5.360839366912842,,,,299,,5.361819267272949,,,
4,,,,,304,,,5.173369407653809,,
4,,,,,309,,,5.151695251464844,,
