model_name,batch_size,sequence_length,mode,total_params_millions,total_mean_gb,total_std_gb,forward_mean_gb,forward_std_gb,backward_mean_gb,backward_std_gb,peak_forward_mean_gb,peak_forward_std_gb,peak_backward_mean_gb,peak_backward_std_gb,memory_per_sample_gb,memory_per_token_gb,status
tiny256,1,128,training,14.6,0.147,0.010,0.147,0.010,0.029,0.010,0.150,0.000,0.203,0.010,0.147,0.001,success
tiny256,8,128,training,14.6,0.582,0.078,0.582,0.078,0.231,0.078,0.609,0.001,1.036,0.079,0.073,0.001,success
tiny256,32,128,training,14.6,1.922,0.311,1.922,0.311,0.923,0.311,2.029,0.000,3.734,0.311,0.060,0.000,success
tiny256,1,256,training,14.7,0.381,0.020,0.381,0.020,0.059,0.020,0.388,0.000,0.496,0.020,0.381,0.001,success
tiny256,8,256,training,14.7,1.189,0.156,1.189,0.156,0.462,0.156,1.243,0.000,2.098,0.156,0.149,0.001,success
tiny256,32,256,training,14.7,3.812,0.622,3.812,0.622,1.845,0.622,4.026,0.000,7.436,0.622,0.119,0.000,success
tiny256,1,512,training,14.7,0.669,0.039,0.669,0.039,0.115,0.039,0.683,0.001,0.896,0.039,0.669,0.001,success
tiny256,8,512,training,14.7,2.226,0.311,2.226,0.311,0.923,0.311,2.333,0.000,4.039,0.311,0.278,0.001,success
tiny256,32,512,training,14.7,7.417,1.244,7.417,1.244,3.690,1.244,7.844,0.000,14.666,1.244,0.232,0.000,success
tiny256,1,1024,training,14.9,1.075,0.078,1.075,0.078,0.231,0.078,1.103,0.001,1.530,0.078,1.075,0.001,success
tiny256,8,1024,training,14.9,4.135,0.622,4.135,0.622,1.845,0.622,4.349,0.000,7.760,0.622,0.517,0.001,success
tiny256,32,1024,training,14.9,14.462,2.489,14.462,2.489,7.381,2.489,15.317,0.000,28.960,2.489,0.452,0.000,success
tiny256,1,128,evaluation,14.6,0.869,0.000,0.869,0.000,0.000,0.000,0.872,0.008,0.000,0.000,0.869,0.007,success
tiny256,8,128,evaluation,14.6,1.109,0.000,1.109,0.000,0.000,0.000,1.132,0.065,0.000,0.000,0.139,0.001,success
tiny256,32,128,evaluation,14.6,1.787,0.000,1.787,0.000,0.000,0.000,1.878,0.261,0.000,0.000,0.056,0.000,success
tiny256,1,256,evaluation,14.7,1.075,0.000,1.075,0.000,0.000,0.000,1.081,0.017,0.000,0.000,1.075,0.004,success
tiny256,8,256,evaluation,14.7,1.496,0.000,1.496,0.000,0.000,0.000,1.542,0.131,0.000,0.000,0.187,0.001,success
tiny256,32,256,evaluation,14.7,2.791,0.000,2.791,0.000,0.000,0.000,2.973,0.521,0.000,0.000,0.087,0.000,success
tiny256,1,512,evaluation,14.7,1.308,0.000,1.308,0.000,0.000,0.000,1.320,0.033,0.000,0.000,1.308,0.003,success
tiny256,8,512,evaluation,14.7,2.091,0.000,2.091,0.000,0.000,0.000,2.182,0.261,0.000,0.000,0.261,0.001,success
tiny256,32,512,evaluation,14.7,4.626,0.000,4.626,0.000,0.000,0.000,4.989,1.043,0.000,0.000,0.145,0.000,success
tiny256,1,1024,evaluation,14.9,1.603,0.000,1.603,0.000,0.000,0.000,1.627,0.065,0.000,0.000,1.603,0.002,success
tiny256,8,1024,evaluation,14.9,3.115,0.000,3.115,0.000,0.000,0.000,3.297,0.521,0.000,0.000,0.389,0.000,success
tiny256,32,1024,evaluation,14.9,8.129,0.000,8.129,0.000,0.000,0.000,8.856,2.085,0.000,0.000,0.254,0.000,success
small512,1,128,training,39.5,1.761,0.014,1.761,0.014,0.030,0.014,1.766,0.000,1.832,0.014,1.761,0.014,success
small512,8,128,training,39.5,2.385,0.114,2.385,0.114,0.242,0.114,2.425,0.000,2.954,0.114,0.298,0.002,success
small512,32,128,training,39.5,4.137,0.457,4.137,0.457,0.969,0.457,4.298,0.000,6.415,0.457,0.129,0.001,success
small512,1,256,training,39.5,2.306,0.029,2.306,0.029,0.062,0.029,2.317,0.000,2.451,0.029,2.306,0.009,success
small512,8,256,training,39.5,3.396,0.229,3.396,0.229,0.486,0.229,3.478,0.001,4.538,0.229,0.425,0.002,success
small512,32,256,training,39.5,6.742,0.914,6.742,0.914,1.937,0.914,7.065,0.000,11.299,0.914,0.211,0.001,success
small512,1,512,training,39.7,2.922,0.058,2.922,0.058,0.121,0.057,2.943,0.001,3.209,0.058,2.922,0.006,success
small512,8,512,training,39.7,4.944,0.457,4.944,0.457,0.969,0.457,5.106,0.001,7.224,0.457,0.618,0.001,success
