model_name,batch_size,sequence_length,total_params_millions,INF_mem,INF_cached_mem,INF_peak_mem,FWD_mem,FWD_cached_mem,FWD_peak_mem,TS_mem,TS_cached_mem,TS_peak_mem,status
tiny256,1,256,14.7,0.094 Gb,0.057,0.147,0.094,0.118,0.209,0.094,0.118,0.209,success
tiny256,16,256,14.7,0.154 Gb,0.893,0.987,0.154,2.547,1.966,0.154,1.824,1.966,success
tiny256,32,256,14.7,0.214 Gb,1.806,1.879,0.214,5.102,3.839,0.214,3.668,3.839,success
tiny256,64,256,14.7,0.274 Gb,3.568,3.605,0.274,10.161,7.523,0.274,7.267,7.523,success
tiny256,128,256,14.7,0.334 Gb,7.134,6.995,0.334,20.323,14.832,0.334,14.543,14.832,success
tiny256,1,512,14.7,0.396 Gb,0.133,0.500,0.396,0.242,0.623,0.396,0.242,0.623,success
tiny256,16,512,14.7,0.458 Gb,1.807,2.123,0.458,5.104,4.083,0.458,3.669,4.083,success
tiny256,32,512,14.7,0.520 Gb,3.568,3.851,0.520,10.163,7.769,0.520,7.269,7.769,success
tiny256,64,512,14.7,0.582 Gb,7.133,7.243,0.582,20.322,15.080,0.582,14.543,15.080,success
tiny256,128,512,14.7,0.644 Gb,14.264,13.966,0.644,40.642,29.640,0.644,29.066,29.640,success
tiny256,1,1024,14.9,0.712 Gb,0.232,0.921,0.712,0.655,1.167,0.712,0.469,1.167,success
tiny256,16,1024,14.9,0.781 Gb,3.573,4.112,0.781,10.166,8.031,0.781,7.268,8.031,success
tiny256,32,1024,14.9,0.850 Gb,7.151,7.512,0.850,20.340,15.349,0.850,14.539,15.349,success
tiny256,64,1024,14.9,0.919 Gb,14.273,14.241,0.919,40.650,29.916,0.919,29.074,29.916,success
tiny256,128,1024,14.9,0.989 Gb,28.526,27.632,0.989,81.280,58.981,0.989,58.128,58.981,success
tiny256,1,2048,15.1,1.082 Gb,0.460,1.501,1.082,1.288,1.992,1.082,0.917,1.992,success
tiny256,16,2048,15.1,1.177 Gb,7.155,7.840,1.177,20.342,15.677,1.177,14.541,15.677,success
tiny256,32,2048,15.1,1.273 Gb,14.267,14.596,1.273,40.643,30.270,1.273,29.067,30.270,success
tiny256,64,2048,15.1,1.369 Gb,28.545,28.013,1.369,81.299,59.361,1.369,58.146,59.361,success
tiny256,128,2048,15.1,,,,,,,,,,out_of_memory
small512,1,256,39.5,1.621 Gb,0.076,1.675,1.621,0.193,1.767,1.621,0.162,1.767,success
small512,16,256,39.5,1.781 Gb,0.991,2.623,1.781,2.640,4.061,1.781,2.336,4.060,success
small512,32,256,39.5,1.942 Gb,1.993,3.624,1.942,5.289,6.498,1.942,4.581,6.498,success
small512,64,256,39.5,2.102 Gb,3.986,5.466,2.102,10.582,11.215,2.102,9.181,11.215,success
small512,128,256,39.5,2.263 Gb,7.967,8.991,2.263,21.158,20.488,2.263,18.306,20.488,success
small512,1,512,39.7,2.425 Gb,0.138,2.531,2.425,0.368,2.711,2.425,0.306,2.711,success
small512,16,512,39.7,2.588 Gb,2.003,4.271,2.588,5.299,7.145,2.588,4.591,7.145,success
small512,32,512,39.7,2.751 Gb,4.000,6.116,2.751,10.595,11.865,2.751,9.194,11.865,success
small512,64,512,39.7,2.915 Gb,7.961,9.644,2.915,21.152,21.141,2.915,18.316,21.141,success
small512,128,512,39.7,3.080 Gb,15.910,16.536,3.080,42.294,39.531,3.080,36.624,39.531,success
small512,1,1024,39.9,3.255 Gb,0.262,3.468,3.255,0.681,3.827,3.255,0.599,3.827,success
small512,16,1024,39.9,3.434 Gb,3.994,6.800,3.434,10.590,12.549,3.434,9.189,12.549,success
small512,32,1024,39.9,3.613 Gb,7.976,10.343,3.613,21.169,21.840,3.613,18.334,21.840,success
small512,64,1024,39.9,3.792 Gb,15.906,17.250,3.792,42.289,40.244,3.792,36.618,40.244,success
small512,128,1024,39.9,,,,,,,,,,out_of_memory
small512,1,2048,40.5,4.199 Gb,0.514,4.625,4.199,1.348,5.344,4.199,1.187,5.344,success
small512,16,2048,40.5,4.430 Gb,7.991,11.162,4.430,21.182,22.660,4.430,18.330,22.660,success
small512,32,2048,40.5,4.662 Gb,15.917,18.121,4.662,42.302,41.116,4.662,36.631,41.116,success
small512,64,2048,40.5,,,,,,,,,,out_of_memory
medium1024,1,256,160.9,5.538 Gb,0.112,5.593,5.538,0.307,5.799,5.538,0.317,5.800,success
medium1024,16,256,160.9,6.184 Gb,1.213,7.043,6.184,4.176,10.301,6.184,4.174,10.301,success
medium1024,32,256,160.9,6.830 Gb,2.375,8.546,6.830,8.343,15.064,6.830,8.356,15.064,success
medium1024,64,256,160.9,7.476 Gb,4.696,10.908,7.476,16.597,23.942,7.476,16.589,23.942,success
medium1024,128,256,160.9,8.122 Gb,9.337,14.985,8.122,33.140,41.054,8.122,33.123,41.054,success
medium1024,1,512,161.2,8.775 Gb,0.186,8.884,8.775,0.572,9.291,8.775,0.572,9.291,success
medium1024,16,512,161.2,9.428 Gb,2.381,11.146,9.428,8.347,17.663,9.428,8.360,17.663,success
medium1024,32,512,161.2,10.081 Gb,4.704,13.514,10.081,16.605,26.549,10.081,16.597,26.549,success
medium1024,64,512,161.2,10.735 Gb,9.341,17.599,10.735,33.146,43.668,10.735,33.129,43.668,success
medium1024,128,512,161.2,11.389 Gb,18.624,25.114,11.389,66.214,77.252,11.389,66.202,77.252,success
medium1024,1,1024,161.7,12.068 Gb,0.335,12.287,12.068,1.104,13.101,12.068,1.102,13.101,success
medium1024,16,1024,161.7,12.749 Gb,4.702,16.184,12.749,16.603,29.218,12.749,16.595,29.218,success
medium1024,32,1024,161.7,13.430 Gb,9.341,20.296,13.430,33.146,46.365,13.430,33.129,46.365,success
medium1024,64,1024,161.7,14.111 Gb,18.622,27.838,14.111,66.280,79.976,14.111,66.200,79.976,success
medium1024,128,1024,161.7,,,,,,,,,,out_of_memory
medium1024,1,2048,162.8,15.575 Gb,0.646,16.014,15.575,2.177,17.644,15.575,2.213,17.644,success
medium1024,16,2048,162.8,16.361 Gb,9.356,23.231,16.361,33.161,49.300,16.361,33.144,49.300,success
medium1024,32,2048,162.8,17.147 Gb,18.637,30.879,17.147,66.227,83.017,17.147,66.215,83.017,success
medium1024,64,2048,162.8,,,,,,,,,,out_of_memory
large2048,1,256,976.4,21.842 Gb,0.153,21.901,21.842,0.798,22.560,21.842,0.788,22.560,success
large2048,16,256,976.4,25.753 Gb,1.572,26.647,25.753,11.586,37.174,25.753,11.597,37.174,success
large2048,32,256,976.4,29.665 Gb,3.066,31.449,29.665,22.982,52.503,29.665,22.978,52.503,success
large2048,64,256,976.4,33.576 Gb,6.054,37.143,33.576,45.890,79.251,33.576,45.881,79.251,success
large2048,128,256,976.4,,,,,,,,,,out_of_memory
large2048,1,512,977.0,41.412 Gb,0.244,41.528,41.412,1.510,42.844,41.412,1.510,42.844,success
large2048,16,512,977.0,45.338 Gb,3.079,47.125,45.338,22.979,68.179,45.338,22.975,68.179,success
large2048,32,512,977.0,,,,,,,,,,out_of_memory
large2048,1,1024,978.0,53.244 Gb,0.458,53.475,53.244,3.056,56.107,53.244,3.075,56.107,success
large2048,16,1024,978.0,,,,,,,,,,out_of_memory
large2048,1,2048,980.1,61.414 Gb,0.832,61.877,61.414,5.815,67.142,61.414,5.812,67.142,success
large2048,16,2048,980.1,,,,,,,,,,out_of_memory
